Instrument,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,returnOnAssets,priceToBook,forwardPE,dividendYield,longName,sector,longBusinessSummary
MODTX,,,0.0,0.0,-2.1951199,-0.86557996,-64.21053,-1.22,,Modus Therapeutics Holding AB (publ),Healthcare,"Modus Therapeutics Holding AB (publ), a biotechnology company, develops a treatment for sepsis and septic shock in Sweden. It develops Sevuparin, a lipopolysaccharide in Phase IIa trial to treat patients with sepsis, septic shock, anemia associated with chronic kidney disease, endotoxemia, severe malaria, and other diseases involving severe systemic inflammation. Modus Therapeutics Holding AB (publ) was founded in 2011 and is headquartered in Stockholm, Sweden."
NANEXA,,-0.455,-0.77085,0.61734,-0.33192003,-0.1516,3.6916664,10.068181,,Nanexa AB (publ),Healthcare,"Nanexa AB (publ), a pharmaceutical company, develops injectable drug products in the Nordic countries, rest of Europe, and North America. The company offers PharmaShell, a drug delivery system based on atomic layer deposition coating technology for controlled release of various types of active pharmaceutical substances. It also develops NEX-22, a glucagon-like peptide-1 analogue liraglutide that has completed Phase I trial for the treatment of type 2 diabetes; NEX-18, a depot drug from azacitidine to treat myelodysplastic syndrome; and NEX-20, a depot drug from lenalidomide for the treatment of multiple myeloma. The company has collaborations with Novo Nordisk and AstraZeneca for the development of pharmaceutical products with active substances. Nanexa AB (publ) was founded in 2007 and is based in Uppsala, Sweden."
NANECH,,,-2.7468302,0.76835,,,1.1035295,,,,Healthcare,"NanoEcho AB (publ) develops diagnostic method to investigate the spread of rectal cancer to nearby lymph nodes. The company was incorporated in 2013 and is based in Lund, Sweden."
NEOLA,,-0.373,-1.1758599,0.92017,-0.12911999,-0.07954,2.1944442,,,Neola Medical AB (publ),Healthcare,"Neola Medical AB (publ), together with its subsidiary, Neola Medical, Inc., develops medical technology devices for non-invasive continuous monitoring of the lungs of preterm born infants in Sweden. It offers NEOLA, a neonatal intensive care medical device that enables continuous lung monitoring and real-time alerts of life-threatening complications using technology that measures lung volume changes and oxygen gas concentration. The company was formerly known as GPX Medical AB and changed its name to Neola Medical AB (publ) in June 2022. Neola Medical AB (publ) was incorporated in 2016 and is headquartered in Lund, Sweden."
NEWBRY,,2.966,-0.32326,0.48359,-0.31343,-0.09154,1.3988094,,,Newbury Pharmaceuticals AB (publ),Healthcare,"Newbury Pharmaceuticals AB (publ) operates as hybrid pharmaceutical company in Sweden and the Scandinavian market. The company offers oncology, rare diseases, neurology, and other treatment products. Newbury Pharmaceuticals AB (publ) was incorporated in 2020 and is based in Lund, Sweden."
NXTCL,,0.421,0.0,-0.42253,-0.71476996,-0.37261,1.487909,,,NextCell Pharma AB,Healthcare,"NextCell Pharma AB, a biopharmaceutical company, engages in the research, development, and manufacture of novel stromal cell therapies in Sweden. The company develops ProTrans, a drug candidate that consists of stem cells for the treatment of autoimmune disease, including type-1 diabetes. It also operates Cellaviva, a stem cell bank. The company was incorporated in 2014 and is based in Huddinge, Sweden."
ONCOZ,,,-2.31098,1.0,-0.47768003,-0.27044,7.9835873,-34.05,,OncoZenge AB (publ),Healthcare,"OncoZenge AB (publ), a pharmaceutical company, engages in the development of treatment for pain relief in patients suffering from oral pain caused by radiation therapy and chemotherapy for cancer in Sweden. It offers BupiZenge, which has completed Phase 2 clinical trial for the treatment of pain in the oral cavity. The company was incorporated in 2020 and is headquartered in Bromma, Sweden."
ORTI-A,,-0.177,-0.32939997,0.34517,-9.27152,-0.18601999,-15.173913,,,Ortivus AB (publ),Healthcare,"Ortivus AB (publ) develops and commercializes medical technology solutions and e-health for healthcare industry in Sweden and internationally. The company offers MobiMed Monitor that monitor and shares vital signs and ECG; MobiMed ePR, an electronic patient record system for documentation of treatment and events; MobiMed enRoute, a navigation, case management, and mass casualty management; MobiMed FleetCtrl, a a software application that regular controls, checklists, and documentation tailored for seamless fleet management; MobiMed Life, a heart safe solution. It also provides ambulance services, primary care, and rescue services. The company was incorporated in 1985 and is headquartered in Stockholm, Sweden."
ORTI-B,,-0.177,-0.32939997,0.34517,-9.27152,-0.18601999,-5.347826,,,Ortivus AB (publ),Healthcare,"Ortivus AB (publ) develops and commercializes medical technology solutions and e-health for healthcare industry in Sweden and internationally. The company offers MobiMed Monitor that monitor and shares vital signs and ECG; MobiMed ePR, an electronic patient record system for documentation of treatment and events; MobiMed enRoute, a navigation, case management, and mass casualty management; MobiMed FleetCtrl, a a software application that regular controls, checklists, and documentation tailored for seamless fleet management; MobiMed Life, a heart safe solution. It also provides ambulance services, primary care, and rescue services. The company was incorporated in 1985 and is headquartered in Stockholm, Sweden."
ORT-B,,3.791,0.11099,0.50373,0.059359998,0.03014,4.889721,47.0,,Ortoma AB (publ),Healthcare,"Ortoma AB (publ) provides orthopedic surgical products for use in joint implant surgery in Sweden. It offers Ortoma Treatment Solution (OTS) that is designed to support various orthopedic joint or spine surgeries in the areas of hip, spine, knee, and shoulders and extremities surgeries; OTS Plan, a software that processes and assists surgeons during pre-operative planning and post-operative follow-up; OTS Guide, an intra-operative navigation tool guiding surgeons to place the implant in the pre-operatively planned position; and OTS Follow up that is used as support in the postoperative follow-up of a patient through a low-dose computed tomography of the joint. The company was incorporated in 2001 and is based in Gothenburg, Sweden."
OSSD,,0.646,-0.35062,0.95975995,-0.24839,-0.10451999,7.3593073,-33.260868,,OssDsign AB (publ),Healthcare,"OssDsign AB (publ) designs, manufactures, and sells implants and material technology for bone regeneration in Sweden, Germany, the United States, the United Kingdom, rest of Europe, and internationally. It offers OssDsign Catalyst, a nanosynthetic bone graft for dual bone formation pathways through fusion mass. The company was founded in 2011 and is headquartered in Uppsala, Sweden."
PAX,,0.146,0.07931,0.65957,0.10475001,0.07995,6.289785,20.243902,,Paxman AB (publ),Healthcare,"Paxman AB (publ), together with its subsidiaries, develops and sells Paxman scalp cooling system to minimize hair loss in connection with chemotherapy treatment worldwide. It serves various cancer centers and hospitals. The company has collaborated with the University of Huddersfield and the University of Leeds to utilize state-of-the-art technological advances to develop a wearable medical cooling device, and the National University Hospital of Singapore for the development of a cooling and compression system. Paxman AB (publ) was founded in 1996 and is headquartered in Karlshamn, Sweden."
PERP-B,,1.35,-0.67043,0.41664,-0.51987,-0.21336001,3.3333335,,,Perpetua Medical AB (publ),Healthcare,"Perpetua Medical AB (publ) provides products and solutions for use of injectable drugs in Sweden. The company offers DrugLog, a solution for reducing medication errors in pharmacy; WasteLog, a device that analysis waste and returns of injectable controlled substances; and PrepLog, a DrugLog based technology platform that integrated prescription software or medication management system for the test of drug preparations. The company formerly known as Pharmacolog i Uppsala AB (publ) and changed its name to Perpetua Medical AB (publ) in April 2024. Perpetua Medical AB (publ) was incorporated in 2007 and is headquartered in Uppsala, Sweden. Perpetua Medical AB (publ) operates as a subsidiary of Nolsterby Invest AB."
PILA,,-0.854,0.0,1.0,-1.88568,-0.69053,17.319586,,,Pila Pharma AB (publ),Healthcare,"Pila Pharma AB (publ) operates as a clinical stage biotech company in Sweden. The company develops XEN-D0501, a TRPV1 antagonist in Phase 2a trial for obesity, diabetes, and heart failure; Phase 1 trial for erythromelalgia, inflammation pain, and rare diseases; and preclinical trial for abdominal aorta aneurism and cardiovascular diseases. Pila Pharma AB (publ) was incorporated in 2014 and is headquartered in Malmö, Sweden."
PILA-BTU,,,,,,,,,,,Unknown,
PRO,,0.11,-0.27095,0.96744,-0.19594,-0.069510005,5.366986,,,Promimic AB (publ),Healthcare,"Promimic AB (publ) manufactures, markets, and sells biomaterials for improved osseointegration for orthopedic and dental implants markets. It offers HAnano surface technology that combines various properties that are known to improve osseointegration into one unique surface modification. The company was incorporated in 2004 and is based in Mölndal, Sweden."
PLUN,,0.071,-1.6394501,0.65884,-0.45541,-0.25104,0.030831583,,,ProstaLund AB (publ),Healthcare,"rostaLund AB (publ), a medical technology company, develops, manufactures, and sells urological devices and treatments in Sweden and internationally. It offers CoreTherm, a heat treatment for benign prostate enlargement; CoreFlow, a temporary prostate stent; Oruflow, a urine flow meter; and Schelin Catheter, a medical device intended for intraprostatic and periprostatic injection of legally market drugs. Its products are used in hospitals and clinics. The company was founded in 1991 and is based in Lund, Sweden. ProstaLund AB (publ) is a subsidiary of Farstorps Gard Forvaltnings AB."
